iter	MultiClass
0	2.900848524
1	2.866708179
2	2.821076287
3	2.782280993
4	2.749006985
5	2.711375557
6	2.671871596
7	2.637499374
8	2.606523786
9	2.571984979
10	2.538916886
11	2.50185749
12	2.460502762
13	2.427233752
14	2.40250985
15	2.3766156
16	2.349012423
17	2.31857777
18	2.290863671
19	2.268300655
20	2.241339544
21	2.22040205
22	2.201437446
23	2.174718811
24	2.150769175
25	2.126879037
26	2.102325065
27	2.078699663
28	2.059404316
29	2.035770231
30	2.013860494
31	1.991686534
32	1.974944551
33	1.954551495
34	1.934246707
35	1.915497486
36	1.896175598
37	1.879492407
38	1.86313751
39	1.847197471
40	1.833084551
41	1.817816001
42	1.802249506
43	1.787039123
44	1.768721338
45	1.753353229
46	1.737892811
47	1.723330972
48	1.706927285
49	1.693544797
50	1.680408584
51	1.666717956
52	1.65155376
53	1.63942934
54	1.627873255
55	1.612291175
56	1.596289917
57	1.581381907
58	1.570547604
59	1.557799286
60	1.546752177
61	1.534384859
62	1.523378979
63	1.510755015
64	1.49982748
65	1.487055472
66	1.478342492
67	1.468188427
68	1.456615662
69	1.441171055
70	1.430631003
71	1.420538846
72	1.410697091
73	1.399323853
74	1.390573506
75	1.382703334
76	1.372296757
77	1.364866417
78	1.354046941
79	1.346640909
80	1.338023969
81	1.32811613
82	1.319023755
83	1.311193702
84	1.302908857
85	1.293544948
86	1.284200037
87	1.276387429
88	1.267561234
89	1.26092411
90	1.252373125
91	1.24364964
92	1.23606928
93	1.227646109
94	1.219319124
95	1.212549468
96	1.204586866
97	1.194944042
98	1.187592234
99	1.181283639
100	1.17403876
101	1.16408791
102	1.156250262
103	1.150077366
104	1.143315533
105	1.136161506
106	1.129057432
107	1.121901827
108	1.115527345
109	1.108274203
110	1.100420135
111	1.094005261
112	1.086785794
113	1.080000384
114	1.074758987
115	1.067807353
116	1.060192585
117	1.053253201
118	1.046439258
119	1.040064187
120	1.034031382
121	1.027909292
122	1.021097613
123	1.014717655
124	1.008646399
125	1.001761415
126	0.9963147641
127	0.9902901363
128	0.9842305986
129	0.9780257922
130	0.9718222658
131	0.9674279517
132	0.9614790411
133	0.9557370229
134	0.9501843502
135	0.9449720643
136	0.9413677839
137	0.9364468119
138	0.9311140986
139	0.9244979637
140	0.9187227542
141	0.9133771389
142	0.9077170404
143	0.9023187814
144	0.8944756222
145	0.8884028378
146	0.8826993677
147	0.8769722983
148	0.8714386777
149	0.8669936573
150	0.861748582
151	0.8560106868
152	0.8501251896
153	0.8458416837
154	0.8409664443
155	0.8362118498
156	0.8302886295
157	0.8261677124
158	0.8215287287
159	0.8156794664
160	0.8116386899
161	0.8067733103
162	0.8008374324
163	0.7957741823
164	0.7915336869
165	0.7864602289
166	0.7813027337
167	0.777612212
168	0.7726064202
169	0.7683869075
170	0.7634609887
171	0.7593581922
172	0.755135646
173	0.7501814772
174	0.7465938444
175	0.7408479664
176	0.7362801993
177	0.7312792426
178	0.7271491596
179	0.721974025
180	0.7174981614
181	0.7133871192
182	0.710503974
183	0.7058926115
184	0.7034287196
185	0.6992074329
186	0.6963095573
187	0.6916562073
188	0.6876598274
189	0.6841390898
190	0.6810943297
191	0.6773987304
192	0.6741183212
193	0.6713921302
194	0.6677246324
195	0.6642048086
196	0.6609660059
197	0.657942685
198	0.6540811413
199	0.6508600723
200	0.6469314115
201	0.6438838397
202	0.6403062344
203	0.6356592749
204	0.6321080903
205	0.6286462185
206	0.6243271132
207	0.6211697388
